Season 2 Ranking Wins

67位 : reakyo_kun (0敗7勝, 勝率100.00%)
68位 : Gumi-ttan (0敗7勝, 勝率100.00%)
69位 : clnoss (0敗7勝, 勝率100.00%)
70位 : ぬるぱ (0敗8勝, 勝率100.00%)
71位 : 葉洞 (0敗10勝, 勝率100.00%)
72位 : K.I. (0敗10勝, 勝率100.00%)
73位 : shumai (0敗11勝, 勝率100.00%)
74位 : 56ネコ (0敗12勝, 勝率100.00%)
75位 : しーすぱろー☭祝杯の聖女超極愛☭ (0敗13勝, 勝率100.00%)
76位 : ぬの人 (0敗13勝, 勝率100.00%)
77位 : 防火壁 (0敗14勝, 勝率100.00%)
78位 : ゆきみだいふく (0敗15勝, 勝率100.00%)
79位 : haruなのです！ (0敗17勝, 勝率100.00%)
80位 : しろまる (0敗19勝, 勝率100.00%)
81位 : エル (0敗19勝, 勝率100.00%)
82位 : ワテでし (0敗19勝, 勝率100.00%)
83位 : ふーか (0敗22勝, 勝率100.00%)
84位 : 三零 (0敗26勝, 勝率100.00%)
85位 : organic_san (0敗30勝, 勝率100.00%)
86位 : さとぅ( ᐖ ) (0敗33勝, 勝率100.00%)
87位 : !!!カオスタイム!!! (0敗38勝, 勝率100.00%)
88位 : ぼん (0敗46勝, 勝率100.00%)
89位 : ビルSP6 (0敗53勝, 勝率100.00%)
90位 : ノーにゃんこノーライフ (0敗87勝, 勝率100.00%)
91位 : 通行ネコ（passing Cat） (0敗204勝, 勝率100.00%)
92位 : Aqua (0敗259勝, 勝率100.00%)
93位 : funi (0敗310勝, 勝率100.00%)
